iter	Passed	Remaining
868	8572	40753
869	8580	40732
870	8589	40718
871	8597	40700
872	8606	40684
873	8614	40666
874	8622	40647
875	8630	40632
876	8639	40615
877	8647	40596
878	8655	40578
879	8663	40561
880	8671	40544
881	8679	40525
882	8687	40504
883	8695	40485
884	8703	40468
885	8712	40453
886	8720	40437
887	8729	40422
888	8737	40404
889	8745	40384
890	8753	40366
891	8761	40349
892	8769	40333
893	8778	40320
894	8786	40302
895	8796	40289
896	8804	40271
897	8811	40252
898	8819	40234
899	8828	40217
900	8836	40202
901	8844	40182
902	8852	40166
903	8860	40146
904	8868	40129
905	8876	40112
906	8885	40096
907	8893	40079
908	8902	40064
909	8910	40048
910	8918	40029
911	8926	40010
912	8934	39992
913	8942	39975
914	8949	39956
915	8958	39941
916	8967	39926
917	8975	39911
918	8983	39893
919	8991	39877
920	9000	39862
921	9008	39846
922	9017	39831
923	9025	39815
924	9034	39800
925	9042	39783
926	9050	39766
927	9059	39750
928	9067	39736
929	9075	39719
930	9083	39698
931	9090	39680
932	9099	39663
933	9107	39646
934	9115	39630
935	9123	39613
936	9131	39594
937	9139	39576
938	9147	39559
939	9155	39546
940	9163	39527
941	9171	39509
942	9179	39491
943	9187	39473
944	9194	39454
945	9203	39440
946	9211	39422
947	9219	39406
948	9226	39386
949	9236	39374
950	9244	39358
951	9253	39347
952	9260	39327
953	9269	39313
954	9277	39295
955	9285	39280
956	9293	39260
957	9302	39248
958	9310	39232
959	9319	39218
960	9327	39202
961	9336	39188
962	9344	39174
963	9352	39157
964	9362	39146
965	9370	39131
966	9378	39113
967	9386	39099
968	9395	39082
969	9404	39070
970	9412	39054
971	9421	39041
972	9429	39026
973	9437	39010
974	9445	38993
975	9454	38978
976	9461	38959
977	9469	38942
978	9477	38927
979	9485	38910
980	9494	38897
981	9503	38884
982	9511	38868
983	9519	38852
984	9528	38838
985	9536	38823
986	9544	38804
987	9552	38790
988	9561	38777
989	9569	38761
990	9577	38743
991	9585	38726
992	9592	38707
993	9600	38690
994	9607	38672
995	9615	38656
996	9623	38640
997	9632	38625
998	9639	38607
999	9648	38592
1000	9656	38579
1001	9664	38562
1002	9672	38543
1003	9680	38527
1004	9688	38511
1005	9695	38494
1006	9703	38476
1007	9711	38461
1008	9719	38444
1009	9727	38427
1010	9735	38410
1011	9743	38396
1012	9751	38380
1013	9759	38365
1014	9767	38346
1015	9775	38331
1016	9783	38314
1017	9791	38299
1018	9799	38282
1019	9807	38266
1020	9814	38250
1021	9822	38233
1022	9830	38217
1023	9838	38201
1024	9845	38183
1025	9854	38167
1026	9862	38153
1027	9876	38161
1028	9891	38171
1029	9904	38173
1030	9919	38188
1031	9932	38191
1032	9947	38200
1033	9957	38191
1034	9964	38174
1035	9972	38159
1036	9980	38141
1037	9988	38127
1038	9996	38109
1039	10004	38093
1040	10012	38076
1041	10019	38060
1042	10028	38045
1043	10035	38028
1044	10043	38012
1045	10051	37994
1046	10059	37980
1047	10066	37961
1048	10075	37947
1049	10082	37930
1050	10090	37914
1051	10098	37898
1052	10105	37877
1053	10113	37861
1054	10120	37845
1055	10129	37830
1056	10138	37820
1057	10147	37806
1058	10155	37792
1059	10163	37775
1060	10171	37761
1061	10179	37745
1062	10187	37729
1063	10194	37712
1064	10202	37697
1065	10211	37683
1066	10218	37667
1067	10227	37654
1068	10235	37638
1069	10243	37622
1070	10251	37607
1071	10259	37592
1072	10266	37575
1073	10274	37559
1074	10283	37545
1075	10291	37530
1076	10299	37514
1077	10306	37498
1078	10314	37482
1079	10322	37468
1080	10330	37451
1081	10338	37436
1082	10345	37418
1083	10353	37402
1084	10361	37387
1085	10369	37371
1086	10377	37356
1087	10385	37340
1088	10392	37323
1089	10400	37309
1090	10408	37293
1091	10416	37277
1092	10425	37267
1093	10434	37254
1094	10441	37237
1095	10449	37223
1096	10457	37207
1097	10465	37192
1098	10473	37177
1099	10481	37161
1100	10489	37146
1101	10496	37128
1102	10504	37114
1103	10512	37098
1104	10521	37087
1105	10529	37073
1106	10543	37076
1107	10556	37080
1108	10568	37081
1109	10580	37079
1110	10594	37086
1111	10604	37078
1112	10612	37062
1113	10622	37053
1114	10629	37038
1115	10637	37023
1116	10645	37007
1117	10654	36995
1118	10663	36982
1119	10673	36974
1120	10684	36971
1121	10695	36965
1122	10709	36972
1123	10729	36998
1124	10741	36999
1125	10753	36997
1126	10763	36990
1127	10773	36981
1128	10782	36971
1129	10789	36951
1130	10795	36930
1131	10803	36914
1132	10810	36898
1133	10819	36886
1134	10827	36870
1135	10836	36857
1136	10843	36842
1137	10852	36830
1138	10860	36815
1139	10868	36800
1140	10876	36785
1141	10884	36769
1142	10891	36752
1143	10900	36740
1144	10907	36724
1145	10916	36711
1146	10924	36697
1147	10934	36691
1148	10944	36681
1149	10954	36672
1150	10965	36670
1151	10981	36682
1152	10998	36695
1153	11011	36700
1154	11031	36724
1155	11051	36747
1156	11064	36752
1157	11074	36741
1158	11087	36745
1159	11099	36744
1160	11112	36745
1161	11121	36734
1162	11132	36728
1163	11143	36724
1164	11154	36717
1165	11163	36706
1166	11171	36691
1167	11179	36678
1168	11187	36663
1169	11199	36661
1170	11213	36666
1171	11226	36669
1172	11239	36669
1173	11250	36663
1174	11259	36652
1175	11267	36637
1176	11275	36624
1177	11283	36610
1178	11291	36596
1179	11299	36581
1180	11309	36572
1181	11319	36562
1182	11332	36564
1183	11346	36568
1184	11361	36578
1185	11378	36592
1186	11392	36595
1187	11401	36585
1188	11410	36572
1189	11417	36556
1190	11426	36545
1191	11434	36528
1192	11442	36514
1193	11449	36497
1194	11457	36481
1195	11470	36483
1196	11478	36469
1197	11486	36454
1198	11494	36439
1199	11502	36424
1200	11510	36408
1201	11517	36393
1202	11526	36379
1203	11534	36364
1204	11542	36351
1205	11550	36337
1206	11558	36322
1207	11566	36307
1208	11575	36295
1209	11582	36279
1210	11590	36264
1211	11597	36248
1212	11606	36234
1213	11613	36218
1214	11622	36207
1215	11631	36193
1216	11639	36179
1217	11647	36167
1218	11656	36153
1219	11663	36137
1220	11671	36124
1221	11679	36109
1222	11687	36093
1223	11694	36078
1224	11702	36062
1225	11710	36046
1226	11717	36032
1227	11725	36018
1228	11734	36004
1229	11742	35990
1230	11749	35974
1231	11758	35961
1232	11765	35944
1233	11773	35931
1234	11781	35915
1235	11788	35900
1236	11797	35887
1237	11805	35874
1238	11813	35858
1239	11822	35847
1240	11828	35828
1241	11837	35816
1242	11844	35800
1243	11853	35788
1244	11861	35773
1245	11869	35760
1246	11876	35744
1247	11885	35732
1248	11893	35720
1249	11902	35708
1250	11910	35693
1251	11918	35677
1252	11926	35664
1253	11934	35652
1254	11943	35639
1255	11951	35626
1256	11959	35610
1257	11967	35598
1258	11975	35583
1259	11984	35571
1260	11991	35555
1261	11999	35540
1262	12006	35525
1263	12014	35512
1264	12021	35494
1265	12029	35480
1266	12038	35468
1267	12045	35453
1268	12053	35439
1269	12060	35422
1270	12069	35411
1271	12077	35396
1272	12085	35383
1273	12094	35370
1274	12102	35358
1275	12109	35340
1276	12117	35327
1277	12125	35314
1278	12134	35303
1279	12142	35290
1280	12151	35277
1281	12158	35262
1282	12167	35249
1283	12174	35235
1284	12182	35220
1285	12191	35207
1286	12199	35194
1287	12207	35180
1288	12215	35168
1289	12223	35154
1290	12232	35143
1291	12241	35133
1292	12251	35124
1293	12259	35111
1294	12269	35102
1295	12278	35090
1296	12287	35080
1297	12294	35066
1298	12303	35053
1299	12311	35039
1300	12320	35029
1301	12328	35014
1302	12336	35002
1303	12344	34990
1304	12353	34977
1305	12361	34964
1306	12369	34951
1307	12377	34937
1308	12386	34925
1309	12394	34912
1310	12402	34899
1311	12411	34887
1312	12419	34875
1313	12428	34864
1314	12435	34848
1315	12444	34836
1316	12452	34822
1317	12460	34809
1318	12469	34798
1319	12477	34786
1320	12486	34773
1321	12494	34760
1322	12503	34749
1323	12511	34738
1324	12520	34726
1325	12528	34714
1326	12537	34702
1327	12547	34693
1328	12554	34679
1329	12563	34667
1330	12571	34655
1331	12580	34644
1332	12588	34631
1333	12597	34618
1334	12604	34604
1335	12613	34593
1336	12620	34576
1337	12628	34562
1338	12636	34549
1339	12644	34537
1340	12652	34523
1341	12660	34509
1342	12668	34495
1343	12676	34482
1344	12683	34466
1345	12691	34454
1346	12699	34440
1347	12706	34425
1348	12715	34412
1349	12722	34399
1350	12731	34386
1351	12738	34372
1352	12746	34359
1353	12755	34346
1354	12762	34332
1355	12770	34317
1356	12778	34304
1357	12786	34290
1358	12794	34279
1359	12802	34266
1360	12811	34256
1361	12819	34242
1362	12828	34232
1363	12836	34217
1364	12844	34206
1365	12853	34194
1366	12862	34183
1367	12871	34172
1368	12880	34161
1369	12888	34149
1370	12896	34137
1371	12905	34125
1372	12914	34114
1373	12923	34104
1374	12930	34090
1375	12939	34078
1376	12947	34065
1377	12956	34055
1378	12964	34041
1379	12972	34029
1380	12980	34015
1381	12988	34003
1382	12996	33989
1383	13005	33979
1384	13024	33994
1385	13057	34046
1386	13077	34065
1387	13086	34056
1388	13095	34045
1389	13104	34034
1390	13121	34043
1391	13134	34042
1392	13142	34031
1393	13150	34018
1394	13159	34006
1395	13167	33993
1396	13175	33981
1397	13183	33968
1398	13192	33957
1399	13199	33941
1400	13207	33929
1401	13216	33917
1402	13224	33905
1403	13232	33892
1404	13242	33882
1405	13252	33875
1406	13260	33862
1407	13268	33849
1408	13276	33836
1409	13284	33822
1410	13292	33809
1411	13301	33799
1412	13309	33786
1413	13317	33774
1414	13325	33762
1415	13334	33750
1416	13341	33736
1417	13350	33723
1418	13357	33710
1419	13365	33695
1420	13373	33682
1421	13381	33669
1422	13389	33658
1423	13397	33645
1424	13406	33633
1425	13414	33620
1426	13422	33608
1427	13430	33594
1428	13439	33583
1429	13447	33570
1430	13455	33558
1431	13463	33545
1432	13471	33533
1433	13479	33520
1434	13488	33509
1435	13496	33497
1436	13505	33486
1437	13513	33473
1438	13522	33464
1439	13531	33452
1440	13540	33442
1441	13548	33430
1442	13556	33416
1443	13564	33404
1444	13572	33390
1445	13579	33375
1446	13587	33361
1447	13594	33348
1448	13602	33334
1449	13611	33325
1450	13619	33313
1451	13629	33304
1452	13639	33295
1453	13647	33282
1454	13655	33270
1455	13663	33258
1456	13671	33246
1457	13680	33234
1458	13688	33221
1459	13696	33209
1460	13703	33195
1461	13711	33181
1462	13720	33170
1463	13729	33160
1464	13738	33149
1465	13746	33138
1466	13755	33126
1467	13764	33116
1468	13772	33105
1469	13781	33093
1470	13789	33080
1471	13797	33068
1472	13804	33053
1473	13812	33041
1474	13820	33027
1475	13828	33014
1476	13835	33001
1477	13843	32987
1478	13850	32974
1479	13858	32961
1480	13866	32948
1481	13874	32934
1482	13881	32921
1483	13889	32908
1484	13897	32895
1485	13905	32883
1486	13914	32871
1487	13922	32861
1488	13930	32848
1489	13939	32836
1490	13947	32823
1491	13955	32813
1492	13965	32804
1493	13972	32789
1494	13980	32777
1495	13988	32764
1496	13997	32753
1497	14004	32740
1498	14013	32728
1499	14022	32719
1500	14031	32709
1501	14039	32696
1502	14048	32685
1503	14056	32673
1504	14064	32662
1505	14073	32650
1506	14082	32640
1507	14090	32627
1508	14099	32617
1509	14106	32604
1510	14115	32593
1511	14123	32580
1512	14132	32571
1513	14140	32559
1514	14148	32546
1515	14156	32533
1516	14164	32521
1517	14171	32506
1518	14179	32494
1519	14187	32482
1520	14196	32471
1521	14205	32461
1522	14213	32448
1523	14221	32436
1524	14230	32427
1525	14239	32417
1526	14248	32407
1527	14258	32398
1528	14267	32389
1529	14277	32381
1530	14285	32368
1531	14295	32360
1532	14302	32347
1533	14312	32337
1534	14320	32325
1535	14328	32313
1536	14336	32300
1537	14344	32289
1538	14352	32277
1539	14361	32266
1540	14368	32252
1541	14376	32239
1542	14384	32227
1543	14392	32215
1544	14400	32202
1545	14408	32189
1546	14415	32177
1547	14424	32166
1548	14432	32154
1549	14441	32144
1550	14449	32132
1551	14458	32121
1552	14466	32109
1553	14476	32101
1554	14485	32092
1555	14494	32081
1556	14502	32068
1557	14509	32056
1558	14518	32045
1559	14527	32034
1560	14535	32022
1561	14543	32010
1562	14551	31999
1563	14560	31988
1564	14568	31976
1565	14577	31967
1566	14586	31955
1567	14594	31943
1568	14602	31932
1569	14610	31920
1570	14619	31909
1571	14628	31899
1572	14636	31887
1573	14644	31875
1574	14653	31866
1575	14662	31855
1576	14670	31844
1577	14678	31831
1578	14686	31819
1579	14695	31808
1580	14703	31797
1581	14711	31784
1582	14719	31772
1583	14727	31760
1584	14735	31749
1585	14743	31737
1586	14752	31726
1587	14760	31713
1588	14768	31703
1589	14775	31689
1590	14784	31677
1591	14791	31664
1592	14800	31653
1593	14808	31641
1594	14816	31629
1595	14823	31616
1596	14831	31604
1597	14840	31594
1598	14848	31582
1599	14856	31570
1600	14866	31561
1601	14873	31549
1602	14882	31537
1603	14890	31526
1604	14898	31513
1605	14906	31502
1606	14914	31491
1607	14922	31478
1608	14930	31465
1609	14938	31455
1610	14946	31443
1611	14955	31432
1612	14962	31419
1613	14970	31406
1614	14977	31393
1615	14986	31382
1616	14994	31369
1617	15002	31359
1618	15010	31346
1619	15018	31335
1620	15026	31323
1621	15035	31313
1622	15043	31301
1623	15052	31290
1624	15059	31277
1625	15068	31268
1626	15076	31256
1627	15085	31246
1628	15093	31233
1629	15101	31222
1630	15108	31209
1631	15117	31197
1632	15125	31186
1633	15134	31175
1634	15141	31162
1635	15149	31150
1636	15157	31139
1637	15166	31129
1638	15174	31117
1639	15182	31106
1640	15190	31094
1641	15199	31085
1642	15207	31072
1643	15216	31061
1644	15223	31049
1645	15233	31040
1646	15246	31039
1647	15260	31039
1648	15272	31034
1649	15287	31037
1650	15299	31034
1651	15308	31024
1652	15317	31014
1653	15324	31001
1654	15333	30990
1655	15340	30977
1656	15349	30967
1657	15357	30955
1658	15366	30945
1659	15374	30934
1660	15382	30923
1661	15390	30910
1662	15399	30901
1663	15408	30891
1664	15417	30881
1665	15425	30870
1666	15434	30859
1667	15441	30846
